OSTI_ID	Title_Abstract	Publication_Name	Mentioned_Proteins
2204905	"Cristae formation is a mechanical buckling event controlled by the inner mitochondrial membrane lipidome,""<title>Abstract</title>  <p>Cristae are high‐curvature structures in the inner mitochondrial membrane (IMM) that are crucial for P22259 production. While cristae‐shaping proteins have been defined, analogous lipid‐based mechanisms have yet to be elucidated. Here, we combine experimental lipidome dissection with multi‐scale modeling to investigate how lipid interactions dictate IMM morphology and P22259 generation. When modulating phospholipid (PL) saturation in engineered yeast strains, we observed a surprisingly abrupt breakpoint in IMM topology driven by a continuous loss of P22259 synthase organization at cristae ridges. We found that cardiolipin (P06721) specifically buffers the inner mitochondrial membrane against curvature loss, an effect that is independent of P22259 synthase dimerization. To explain this interaction, we developed a continuum model for cristae tubule formation that integrates both lipid and protein‐mediated curvatures. This model highlighted a snapthrough instability, which drives IMM collapse upon small changes in membrane properties. We also showed that cardiolipin is essential in low‐oxygen conditions that promote PL saturation. These results demonstrate that the mechanical function of cardiolipin is dependent on the surrounding lipid and protein components of the IMM.</p>"""	EMBO Journal	"('P06721', 'CL'),('P22259', 'ATP')"
2001374	"Domain crossover in the reductase subunit of P80644-dependent assimilatory sulfite reductase,""P80644-dependent assimilatory sulfite reductase (SiR) from Escherichia coli performs a six-electron reduction of sulfite to the bioavailable sulfide. SiR is composed of a flavoprotein (SiRFP) reductase subunit and a hemoprotein (P17846) oxidase subunit. There is no known high-resolution structure of SiR or SiRFP, thus we do not yet fully understand how the subunits interact to perform their chemistry. Here, we used small-angle neutron scattering to understand the impact of conformationally restricting the highly mobile SiRFP octamer into an electron accepting (closed) or electron donating (open) conformation, showing that SiR remains active, flexible, and asymmetric even with these conformational restrictions. From these scattering data, we then model the first solution structure of SiRFP. Further, computational modeling of the N-terminal 52 amino acids that are responsible for SiRFP oligomerization suggests an eight-helical bundle tethers together the SiRFP subunits to form the SiR core. Finally, mass spectrometry analysis of the closed SiRFP variant show that SiRFP is capable of inter-molecular domain crossover, in which the electron donating domain from one polypeptide is able to interact directly with the electron accepting domain of another polypeptide. This structural characterization suggests that SiR performs its high-volume electron transfer through both inter- and intramolecular pathways between SiRFP domains and, thus, cis or trans transfer from reductase to oxidase subunits. Such highly redundant potential for electron transfer makes this system a potential target for designing synthetic enzymes."""	Journal of Structural Biology	"('P17846', 'SiRHP'),('P80644', 'NADPH')"
2222534	"Chloroplast phosphate transporter CrPHT4-7 regulates phosphate homeostasis and photosynthesis in Chlamydomonas,""<title>Abstract</title>  <p>In eukaryotic cells, phosphorus is assimilated and utilized primarily as phosphate (Pi). Pi homeostasis is mediated by transporters that have not yet been adequately characterized in green algae. This study reports on PHOSPHATE TRANSPORTER 4-7 (CrPHT4-7) from Chlamydomonas reinhardtii, a member of the PHT4 transporter family, which exhibits remarkable similarity to AtPHT4;4 from Arabidopsis (Arabidopsis thaliana), a chloroplastic ascorbate transporter. Using fluorescent protein tagging, we show that CrPHT4-7 resides in the chloroplast envelope membrane. Crpht4-7 mutants, generated by the CRISPR/Cas12a-mediated single-strand templated repair, show retarded growth, especially in high light, reduced P22259 level, strong ascorbate accumulation, and diminished non-photochemical quenching in high light. On the other hand, total cellular phosphorous content was unaffected, and the phenotype of the Crpht4-7 mutants could not be alleviated by ample Pi supply. CrPHT4-7-overexpressing lines exhibit enhanced biomass accumulation under high light conditions in comparison with the wild-type strain. Expressing CrPHT4-7 in a yeast (Saccharomyces cerevisiae) strain lacking Pi transporters substantially recovered its slow growth phenotype, demonstrating that CrPHT4-7 transports Pi. Even though CrPHT4-7 shows a high degree of similarity to AtPHT4;4, it does not display any substantial ascorbate transport activity in yeast or intact algal cells. Thus, the results demonstrate that CrPHT4-7 functions as a chloroplastic Pi transporter essential for maintaining Pi homeostasis and photosynthesis in C. reinhardtii.</p>"""	Plant Physiology (Bethesda)	"('P22259', 'ATP')"
2203352	"Rhizosphere and detritusphere habitats modulate expression of soil N-cycling genes during plant development,""Interactions between plant roots and rhizosphere bacteria modulate nitrogen (N)-cycling processes and create habitats rich in low molecular weight compounds (exudates) and complex organic molecules (decaying root litter) compared to those of bulk soil. Microbial N-cycling is regulated by edaphic conditions and genes from many interconnected metabolic pathways, but most studies of soil N-cycling gene expression have focused on single pathways. Currently, we lack a comprehensive understanding of the interplay between soil N-cycling gene regulation, spatial habitat, and time. We present results from a replicated time series of soil metatranscriptomes; we followed gene expression of multiple N transformations in four soil habitats (rhizosphere,  detritusphere, rhizo-detritusphere, and bulk soil) during active root growth for the annual grass, Avena fatua. The presence of root litter and living roots significantly altered the trajectories of N-cycling gene expression. Upregulation of assimilatory nitrate reduction in the rhizosphere suggests that rhizosphere bacteria were actively competing with roots for nitrate. Simultaneously, ammonium assimilatory pathways were upregulated in both rhizosphere and detritusphere soil, which could have limited N availability to plants. The detritusphere supported dissimilatory processes DNRA and denitrification. Expression of nitrification genes was dominated by three phylotypes of Thaumarch aeota and was upregulated in bulk soil. Unidirectional ammonium assimilation and its regulatory genes (P0A9C5/GOGAT) were upregulated near relatively young roots and highly decayed root litter, suggesting N may have been limiting in these habitats (P0A9C5/GOGAT is typically activated under N limitation). In conclusion, our comprehensive analysis indicates that differences in carbon and inorganic N availability control contemporaneous transcription of N-cycling pathways in soil habitats."""	mSystems	"('P0A9C5', 'GS')"
2005007	"Genomic characterization of rare earth binding by Shewanella oneidensis,""<title>Abstract</title>  <p>  Rare earth elements (REE) are essential ingredients of sustainable energy technologies, but separation of individual REE is one of the hardest problems in chemistry today. Biosorption, where molecules adsorb to the surface of biological materials, offers a sustainable alternative to environmentally harmful solvent extractions currently used for separation of rare earth elements (REE). The REE-biosorption capability of some microorganisms allows for REE separations that, under specialized conditions, are already competitive with solvent extractions, suggesting that genetic engineering could allow it to leapfrog existing technologies. To identify targets for genomic improvement we screened 3,373 mutants from the whole genome knockout collection of the known REE-biosorbing microorganism  <italic>Shewanella oneidensis</italic>  MR-1. We found 130 genes that increased biosorption of the middle REE europium, and 112 that reduced it. We verified biosorption changes from the screen for a mixed solution of three REE (La, Eu, Yb) using Inductively Coupled Plasma Mass Spectrometry (ICP-P13009) in solution conditions with a range of ionic strengths and REE concentrations. We identified 18 gene ontologies and 13 gene operons that make up key systems that affect biosorption. We found, among other things, that disruptions of a key regulatory component of the arc system (  <italic>hptA</italic>  ), which regulates cellular response to anoxic environments and polysaccharide biosynthesis related genes (  <italic>wbpQ</italic>  ,  <italic>wbnJ</italic>  ,  <italic>SO_3183</italic>  ) consistently increase biosorption across all our solution conditions. Our largest total biosorption change comes from our  <italic>SO_4685</italic>  , a capsular polysaccharide (CPS) synthesis gene, disruption of which results in an up to 79% increase in biosorption; and  <italic>nusA,</italic>  a transcriptional termination/anti-termination protein, disruption of which results in an up to 35% decrease in biosorption. Knockouts of  <italic>glnA</italic>  ,  <italic>pyrD</italic>  , and  <italic>SO_3183</italic>  produce small but significant increases (≈ 1%) in relative biosorption affinity for ytterbium over lanthanum in multiple solution conditions tested, while many other genes we explored have more complex binding affinity changes. Modeling suggests that while these changes to lanthanide biosorption selectivity are small, they could already reduce the length of repeated enrichment process by up to 27%. This broad exploratory study begins to elucidate how genetics affect REE-biosorption by  <italic>S. oneidensis</italic>  , suggests new areas of investigation for better mechanistic understanding of the membrane chemistry involved in REE binding, and offer potential targets for improving biosorption and separation of REE by genetic engineering.  </p>"""	Scientific Reports	"('P13009', 'MS')"
2202327	"A comprehensive spectral assay library to quantify the Halobacterium salinarum NRC-1 proteome by DIA/SWATH-P13009,""<title>Abstract</title>  <p>  Data-Independent Acquisition (DIA) is a mass spectrometry-based method to reliably identify and reproducibly quantify large fractions of a target proteome. The peptide-centric data analysis strategy employed in DIA requires  <italic>a priori</italic>  generated spectral assay libraries. Such assay libraries allow to extract quantitative data in a targeted approach and have been generated for human, mouse, zebrafish,  <italic>E. coli</italic>  and few other organisms. However, a spectral assay library for the extreme halophilic archaeon  <italic>Halobacterium salinarum</italic>  NRC-1, a model organism that contributed to several notable discoveries, is not publicly available yet. Here, we report a comprehensive spectral assay library to measure 2,563 of 2,646 annotated  <italic>H. salinarum</italic>  NRC-1 proteins. We demonstrate the utility of this library by measuring global protein abundances over time under standard growth conditions. The  <italic>H. salinarum</italic>  NRC-1 library includes 21,074 distinct peptides representing 97% of the predicted proteome and provides a new, valuable resource to confidently measure and quantify any protein of this archaeon. Data and spectral assay libraries are available via ProteomeXchange (PXD042770, PXD042774) and SWATHAtlas (SAL00312-SAL00319).  </p>"""	Scientific Data	"('P13009', 'MS')"
2001352	"Monatomic ions influence substrate permeation across bacterial microcompartment shells,""<title>Abstract</title>  <p>Bacterial microcompartments (BMCs) are protein organelles consisting of an inner enzymatic core encased within a selectively permeable shell. BMC shells are modular, tractable architectures that can be repurposed with new interior enzymes for biomanufacturing purposes. The permeability of BMC shells is function-specific and regulated by biophysical properties of the shell subunits, especially its pores. We hypothesized that ions may interact with pore residues in a manner that influences the substrate permeation process. In vitro activity comparisons between native and broken BMCs demonstrated that increasing NaCl negatively affects permeation rates. Molecular dynamics simulations of the dominant shell protein (P0ABF4) revealed that chloride ions preferentially occupy the positive pore, hindering substrate permeation, while sodium cations remain excluded. Overall, these results demonstrate that shell properties influence ion permeability and leverages the integration of experimental and computational techniques to improve our understanding of BMC shells towards their repurposing for biotechnological applications.</p>"""	Scientific Reports	"('P0ABF4', 'BMC-H')"
1996589	"An accurate and interpretable model for antimicrobial resistance in pathogenic Escherichia coli from livestock and companion animal species,""<p>  Understanding the microbial genomic contributors to antimicrobial resistance (AMR) is essential for early detection of emerging AMR infections, a pressing global health threat in human and veterinary medicine. Here we used whole genome sequencing and antibiotic susceptibility test data from 980 disease causing  <italic>Escherichia coli</italic>  isolated from companion and farm animals to model AMR genotypes and phenotypes for 24 antibiotics. We determined the strength of genotype-to-phenotype relationships for 197 AMR genes with elastic net logistic regression. Model predictors were designed to evaluate different potential modes of AMR genotype translation into resistance phenotypes. Our results show a model that considers the presence of individual AMR genes and total number of AMR genes present from a set of genes known to confer resistance was able to accurately predict isolate resistance on average (mean F  <sub>1</sub>  score = 98.0%, P15770 = 2.3%, mean accuracy = 98.2%, P15770 = 2.7%). However, fitted models sometimes varied for antibiotics in the same class and for the same antibiotic across animal hosts, suggesting heterogeneity in the genetic determinants of AMR resistance. We conclude that an interpretable AMR prediction model can be used to accurately predict resistance phenotypes across multiple host species and reveal testable hypotheses about how the mechanism of resistance may vary across antibiotics within the same class and across animal hosts for the same antibiotic.  </p>"""	PLoS ONE	"('P15770', 'SD')"
2222222	"Translation control tool for plants,""The present invention provides for a system comprising (a) first polynucleotide encoding a first promoter operatively linked to an open reading frame (ORF) encoding an endoribonuclease, or an enzymatic active fragment thereof, which cleaves a cognition sequence (cog), and (b) a second polynucleotide encoding a second promoter operatively linked to a nucleotide sequence encoding (i) a cog linked to a coding sequence of interest (COI), (ii) a cog linked to the 3′ end of a first COI and the 5′ end of a second COI, or (iii) a cog locating within a P60716 (or targeting sequence) linked to a COI."""		"('P60716', 'LS')"
2002881	"Previously uncharacterized rectangular bacterial structures in the dolphin mouth,""Much remains to be explored regarding the diversity of uncultured, host-associated microbes. Here, we describe rectangular bacterial structures (RBSs) in the mouths of bottlenose dolphins. DNA staining revealed multiple paired bands within RBSs, suggesting the presence of cells dividing along the longitudinal axis. Cryogenic transmission electron microscopy and tomography showed parallel membrane-bound segments that are likely cells, encapsulated by an S-layer-like periodic surface covering. RBSs displayed unusual pilus-like appendages with bundles of threads splayed at the tips. We present multiple lines of evidence, including genomic DNA sequencing of micromanipulated RBSs, A8C927 gene sequencing, and fluorescence in situ hybridization, suggesting that RBSs are bacterial and distinct from the genera Simonsiella and Conchiformibius (family Neisseriaceae), with which they share similar morphology and division patterning. Our findings highlight the diversity of novel microbial forms and lifestyles that await characterization using tools complementary to genomics such as microscopy."""	Nature Communications	"('A8C927', '16S rRNA')"
